global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	non_steady_state_outlier03	non_steady_state_outlier04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57
1837.9798474131155	n/a	3378169.9194967393	n/a	2251.88584361036	n/a	5070989.852652743	n/a	1349.8758927519086	n/a	n/a	1822164.9258327626	1409.8795884399826	2434.270770103672	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0242161	n/a	0.0005864194992099999	n/a	-0.00641598	n/a	4.11647993604e-05	n/a	-0.290322	n/a	n/a	0.08428686368399999	0.0016213	n/a	n/a	2.6286136899999996e-06	-0.0005667959999999999	n/a	n/a	3.21257705616e-07	2.08985e-05	n/a	4.3674730225e-10	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1829.5050605517886	-8.474786861326947	3347088.7665846036	71.82201234491987	2206.8653673183107	-45.02047629204935	4870254.749468982	2026.8432855629776	1353.5259334412406	3.6500406893319446	13.32279703377882	1832032.4524979813	1402.089367074833	2383.2575236777247	0.742946	42.36927	0.17595714500000004	0.111802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.016721200000000002	-0.007494899999999995	0.0002795985294400001	5.6173526009999927e-05	-0.017548599999999998	-0.011132619999999998	0.00030795336195999987	0.00012393522806439995	-0.187425	0.10289699999999996	0.010587792608999991	0.035128130625000004	0.00113674	-0.00048456	2.347983936e-07	1.2921778276e-06	-4.37761e-05	0.0005230199	2.7354981579601004e-07	1.9163469312099995e-09	-6.01741e-05	-8.10726e-05	3.6209223108099998e-09	6.5727664707599995e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1824.1742197560309	-5.3308407957576955	3327611.584022524	28.417863589714532	2183.5973100668807	-23.26805725143004	4768097.212531317	541.4024882558259	1352.280764813826	-1.2451686274146139	1.5504449106975942	1828663.2668854662	1394.7916817500402	2362.343080678813	0.834044	47.564476	0.324511527	0.218136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.000949588	-0.015771612	9.017173697440001e-07	0.000248743745078544	0.0395566	0.0571052	0.0015647246035599995	0.0032610038670399994	0.0123366	0.1997616	0.039904696834560015	0.00015219169956	0.000298535	-0.0008382050000000001	7.025876220250001e-07	8.9123146225e-08	3.43186e-05	7.80947e-05	6.09878216809e-09	1.17776630596e-09	6.09885e-05	0.0001211626	3.7195971322499996e-09	1.468037563876e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1817.7530974424217	-6.421122313609202	3304226.323261518	41.23081176633001	2158.4449855436715	-25.15232452320925	4658884.75561862	632.6394289208333	1345.526052908739	-6.754711905086879	45.626132920722405	1810440.359056171	1391.4682036073584	2365.9886483444666	0.8096439999999999	46.172981	0.246268298	0.156804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.00973241	-0.010681998	9.47198044081e-05	0.000114105081272004	-0.0131213	-0.0526779	0.00017216851368999998	0.00277496114841	0.146305	0.1339684	0.017947532198559997	0.021405153025000002	-0.000509902	-0.000808437	6.53570382969e-07	2.60000049604e-07	-4.37761e-05	-7.80947e-05	6.09878216809e-09	1.9163469312099995e-09	-3.12798e-05	-9.22683e-05	9.7842588804e-10	8.51343918489e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1815.10084556988	-2.652251872541683	3294591.0795884933	7.034439995400863	2144.0181511886544	-14.426834355017036	4596813.832626415	208.1335495070998	1347.2916284038804	1.7655754951413198	3.1172568290435176	1815194.73196718	1392.355224531889	2346.408654705885	0.726546	41.43401	0.217374425	0.112404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0234053	-0.01367289	0.00054780806809	0.0001869479209521	-0.112002	-0.0988807	0.012544448004	0.00977739283249	0.185345	0.03904000000000002	0.0015241216000000015	0.034352769025	0.000349836	0.0008597380000000001	7.39149428644e-07	1.2238522689599994e-07	-0.000259534	-0.0002157579	4.655147141241001e-08	6.7357897156e-08	0.000208841	0.0002401208	4.361456328099999e-08	5.7657998592639994e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1812.1474823104447	-2.953363259435264	3283878.4976440836	8.722354542182085	2125.918978319936	-18.099172868718604	4519531.50238088	327.5800585317594	1344.3003466519874	-2.9912817518929837	8.94776651920796	1807143.4220086536	1386.2991404754944	2356.0567580093034	0.767467	43.767658	0.17295316	0.08287859999999997	-0.0337173148	-0.0113866552	0.048954528	0.07088198820000001	-0.0745897999	0.0422732734	-0.0014563043	0.0804155273	-0.054444743200000006	0.1457470579	-0.0151537619	0.0623528655	-0.0246558161	0.0135199273	-0.0078698436	0.0002797675	-0.026183629700000002	0.0350722085	-0.009138239499999999	0.0527193229	0.013875049799999999	-0.054318663200000006	0.028174140299999997	-0.0082285879	0.0225775573	-0.0387586562	0.0019609856	-0.0161290132	0.0057022302	-0.1299570284	0.0217019718	0.0	0.0	0.0	0.0	0.0	-0.00182473	0.02158057	3.3296395729000007e-06	0.0004657210015249	-0.0975936	0.014408400000000003	0.00952451076096	0.00020760199056000004	0.23331	0.04796499999999998	0.002300641224999998	0.0544335561	0.00168447	0.001334634	1.7812479139559998e-06	2.8374391809e-06	7.927279999999997e-05	0.0003388068	1.1479004772624e-07	6.284176819839995e-09	0.000102298	-0.000106543	1.0464880803999995e-08	1.1351410848999998e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1810.1014308848105	-2.0460514256342317	3276467.1900912384	4.186326436339874	2126.992555385929	1.0735770659930497	4524097.330667164	1.1525677166262445	1342.5652339978842	-1.7351126541032045	3.0106159224290665	1802481.407539793	1386.343605534693	2378.128645516661	1.130547	64.473648	0.7582864362999999	0.466554	-0.056182505300000005	0.0030033153999999996	0.0768963072	0.061588239100000004	-0.0900871116	0.0050800772	-0.0079984914	0.028904056299999998	0.0041718291	0.1263468079	0.0213970881	0.0587801362	0.0345504126	0.0482204379	0.0109962409	0.0642456671	0.038766474700000005	0.0513732433	0.047364082800000006	0.06808162820000001	-0.0116353579	-0.0671332145	-0.0208759296	0.021454437799999997	0.007666205699999999	0.0274107535	-0.0297918615	-0.0202574105	-0.0544231688	-0.045071132400000005	0.0734582102	0.0	0.0	0.0	0.0	0.0	-0.000132216	0.001692514	1.7481070655999997e-08	2.8646036401959998e-06	-4.71377e-05	0.09754646230000001	2.22196276129e-09	0.009515312307245321	0.270916	0.037606	0.001414211236	0.073395479056	0.0100044	0.00831993	6.92212352049e-05	0.00010008801936	0.00151659	0.0014373172	2.06588073341584e-06	2.3000452281e-06	0.00277388	0.002671582	7.694410254399999e-06	7.137350382724001e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1804.8851619450575	-5.216268939753036	3257610.4478094364	27.20946165183226	2108.812240064549	-18.180315321380018	4447089.06384606	330.5238651848052	1340.8622765648759	-1.7029574330083506	2.900064018638391	1797911.6447147415	1383.4827350271376	2358.49657234	0.802855	45.785805	0.3439262463	0.187782	-0.0544263716	0.015935225900000002	0.07878746959999999	0.04561177190000002	-0.10053021720000001	0.0026352481	-0.0196957399	0.0245516117	0.0522291208	0.028242137900000002	0.0067443949	0.0978699394	0.0237517858	0.0367291482	0.0586821081	0.0313267447	0.1408292764	0.0347927776	0.0064957734999999996	0.0067402973	-0.0022265367	-0.10348707480000001	-0.0334965888	0.025587778	-0.0035997286999999998	0.055023608499999994	-0.0607123281	-0.050384432400000005	-0.025930767200000003	-0.028608715099999998	0.1280805774	0.0	0.0	0.0	0.0	0.0	-0.0634851	-0.063352884	0.0040303579220100005	0.0040135879111174565	-0.152197	-0.1521498623	0.023163926809	0.023149580597908958	0.331246	0.06033	0.003639708899999999	0.109723912516	0.00975054	-0.00025385999999999985	6.444489959999991e-08	9.50730302916e-05	0.00123944	-0.0002771499999999999	7.681212249999991e-08	1.5362115136000004e-06	0.00194302	-0.0008308599999999999	3.7753267204e-06	6.903283395999998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1800.456122407876	-4.429039537181552	3241642.2487160037	19.61639122191737	2100.4182185588247	-8.394021505724139	4411756.692853827	70.45959703855938	1339.4432158865386	-1.419060678337246	2.0137332088029645	1794108.1285844725	1379.415892305029	2338.623556158723	0.650782	37.113297	0.12533584999999994	0.07497299999999997	-0.0468225147	0.0180437403	0.0732674034	0.037624671299999995	-0.0958774776	0.0063455114	0.0073367078	0.026879428799999997	0.0340418907	-0.027656178700000002	0.0023850046	0.0696752704	-0.0025218134	0.026950249	0.0277253174	-0.0121502418	-0.0007443911999999999	0.031999409300000003	0.0788111154	0.022390674300000003	0.00033313160000000017	-0.073918306	-0.013186341599999998	0.0307223252	-0.0010194153	-0.0063113894999999995	-0.0077717985	-0.0122005002	-0.0338628188	-0.0177106638	0.0574608454	0.0	0.0	0.0	0.0	0.0	-0.0667475	-0.0032623999999999986	0.00445522875625	1.0643253759999992e-05	-0.163107	-0.010910000000000005	0.026603893449	0.00011902810000000005	0.320813	-0.01043299999999997	0.00010884748899999937	0.102920980969	0.00835724	-0.0013932999999999999	1.9412848900000004e-06	6.98434604176e-05	0.000934951	-0.000304489	9.2713551121e-08	8.741333724010002e-07	0.00225984	0.00031682	5.1068768256e-06	1.003749124e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1798.464017764081	-1.9921046437948464	3234472.8231921215	3.968480911828991	2095.8889276265086	-4.529290932316144	4392750.396947396	20.51447634956124	1337.254122281971	-2.189093604567688	4.792130809559153	1788248.5875601245	1376.596066467503	2337.9488720274053	0.67587	38.543995	0.19521795	0.099672	-0.046222186799999995	0.009251842199999999	0.0704948416	0.0382230115	-0.0904314133	-0.016858861399999998	-0.007187221	0.0320066897	0.0600606974	0.0036737617	-0.019448028200000002	0.0837848654	0.0030508144	0.018065216000000002	0.0063779119999999995	0.015154104199999999	-0.0076286939000000005	0.0847378	0.0635924003	-0.0057884254	0.0218619674	-0.0762900859	-0.010607908999999999	0.0040261664	0.0165856103	0.018151158	-0.0339933672	0.0119935561	-0.0330460984	-0.0201297795	-0.0643933745	0.0	0.0	0.0	0.0	0.0	-0.0380371	0.028710400000000007	0.00144682097641	0.0008242870681600003	-0.100562	0.062545	0.010112715844	0.003911877025000001	0.328823	0.008009999999999963	6.416009999999938e-05	0.108124565329	0.00706478	-0.0012924600000000005	1.6704528516000014e-06	4.99111164484e-05	0.00037788	-0.0005570710000000001	3.1032809904100014e-07	1.427932944e-07	0.00219032	-6.952e-05	4.7975017024e-06	4.8330304e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
